age,job,marital,education,balance,housing,duration,campaign,approval
60,unemployed,married,first,1787,no,79,1,no
63,services,married,second,4789,yes,218,1,no
35,management,single,third,1350,yes,185,1,no
60,management,married,third,1476,yes,199,4,no
59,bluecollar,married,second,0,yes,226,1,no
35,management,single,third,747,no,141,2,no
36,selfemployed,married,third,607,yes,341,1,no
39,technician,married,second,147,yes,151,2,no
41,entrepreneur,married,third,221,yes,57,2,no
23,services,married,first,88,yes,313,1,no
39,services,married,second,9374,yes,273,1,no
23,admin.,married,second,264,yes,113,2,no
36,technician,married,third,1109,no,328,2,no
18,student,single,second,502,no,261,1,yes
31,bluecollar,married,second,360,yes,89,1,no
40,management,married,third,194,no,189,2,no
56,technician,married,second,4073,no,239,5,no
37,admin.,single,third,2317,yes,114,1,no
25,bluecollar,single,first,221,,250,1,no
31,services,married,second,132,no,148,1,no
38,management,divorced,unknown,0,yes,96,2,no
42,management,divorced,third,16,no,140,3,no
44,services,single,second,106,no,109,2,no
44,entrepreneur,married,second,93,no,125,2,no
26,housemaid,married,third,523,no,169,3,no
41,management,married,third,5883,no,182,2,no
55,bluecollar,married,first,627,yes,247,1,no
67,retired,married,unknown,696,no,119,1,no
56,selfemployed,married,second,784,no,149,2,no
53,admin.,married,second,105,no,74,2,no
68,retired,divorced,second,4189,no,897,2,yes
31,technician,married,second,171,no,81,3,no
59,management,married,second,42,no,40,1,no
32,management,single,third,2536,yes,958,6,yes
49,technician,married,third,1235,no,354,3,yes
42,admin.,divorced,second,1811,yes,150,1,no
78,retired,divorced,first,229,no,97,1,yes
32,bluecollar,married,second,1889,yes,132,1,yes
0,management,married,second,3935,yes,765,1,yes
23,services,single,third,363,yes,16,18,no
38,management,single,third,11971,yes,609,2,no
36,management,single,third,553,no,106,2,no
52,bluecollar,married,second,1117,yes,365,1,no
32,technician,married,third,396,yes,185,3,no
32,technician,single,third,2184,yes,11,4,no
34,management,single,third,872,yes,105,2,no
55,bluecollar,married,first,145,no,59,3,no
26,bluecollar,married,first,0,yes,425,1,no
